design,designer,vignette,keywords,shiny,author,author_url
audit_experiment_design,audit_experiment_designer,,,,DeclareDesign,www.declaredesign.org
block_cluster_two_arm_design,block_cluster_two_arm_designer,,,,DeclareDesign,www.declaredesign.org
cluster_sampling_design,cluster_sampling_designer,,,,DeclareDesign,www.declaredesign.org
crossover_design,crossover_designer,,,,DeclareDesign,www.declaredesign.org
mediation_analysis_design,mediation_analysis_designer,,,,DeclareDesign,www.declaredesign.org
pretest_posttest_design,pretest_posttest_designer,,,,DeclareDesign,www.declaredesign.org
randomized_response_design,randomized_response_designer,,,,DeclareDesign,www.declaredesign.org
regression_discontinuity_design,regression_discontinuity_designer,regression_discontinuity,,,DeclareDesign,www.declaredesign.org
simple_spillover_design,simple_spillover_designer,,,,DeclareDesign,www.declaredesign.org
simple_two_arm_design,simple_two_arm_designer,simple_two_arm,,,DeclareDesign,www.declaredesign.org
