"id","alias","label","category","keywords","packages","params","description","include_in_shiny","functional","file"
"audit_experiment","17.1","audit experiment","rdss","experiment, descriptive","dplyr","N","Audit experiment design. (chapter 17).
",TRUE,TRUE,"audit_experiment.R"
"audit_intervention","17.2","audit intervention","rdss","experiment, descriptive","dplyr","N","Audit experiment intervention study design. (chapter 17).
",TRUE,TRUE,"audit_intervention.R"
"baseline_over_N","11.1","A baseline declaration intended to be reed over $N$.","rdss","","broom","N","A baseline declaration intended to be redesigned over $N$. (chapter 11).
",FALSE,TRUE,"baseline_over_N.R"
"two_arm_block_cluster",NA,"Two arm trial with blocks and clusters","template","experiment, causal, blocking, cluster","","N_blocks, N_clusters_in_block, N_i_in_cluster, sd_block, sd_cluster, sd_i, ate, assignment_prob","Two-arm trial in which units are nested in clusters and clusters in blocks, assignment is at the cluster level and blocked, and the outcome carries a block-level, a cluster-level and an individual-level shock. Estimation uses block fixed effects with cluster-robust standard errors. The default shocks split the outcome variance equally across the three levels, an intracluster correlation of two thirds. Flattened from DesignLibrary::block_cluster_two_arm_designer.
",TRUE,TRUE,"block_cluster_two_arm.R"
"two_arm_block_rdss","18.4","block randomized trial","rdss","experiment, causal, blocking","","b, N","Block randomized two-arm trial design. (chapter 18).
",TRUE,TRUE,"block_randomized_trial.R"
"blocked_and_clustered","18.5","blocked and clustered","rdss","experiment, causal, blocking, cluster","","ICC, N_clusters","Blocked and clustered randomized trial. (chapter 18). In this design we have to assign in clusters but we improve performance by making blocks out of clusters of the same size.
",TRUE,TRUE,"blocked_and_clustered.R"
"bootstrapped","9.5","bootstrapped","rdss","","rdss","","Bootstrapped standard errors. (chapter 9).
",TRUE,TRUE,"bootstrapped.R"
"cluster_random_sampling","15.3","cluster random sampling","rdss","observational, descriptive, cluster","","budget_function, se_type, ICC, state_mean, cluster_prob, locality_shock, individual_shock","Cluster random sampling design. (chapter 15).
",TRUE,TRUE,"cluster_random_sampling.R"
"conditional_expectation","11.4","Conditional expectation function","rdss","","purrr, tibble, dplyr, tidyr, stringr","dip, x_range, N, polynomial_degrees","Conditional expectation function design (chapter 11).
",FALSE,TRUE,"conditional_expectation.R"
"conjoint","17.5","conjoint","rdss","experiment, descriptive","rdss, cjoint, dplyr, purrr","conjoint_utility, N_subjects, N_tasks","Conjoint experiment design. (chapter 17).
",TRUE,TRUE,"conjoint.R"
"covariate_adjustment","18.2","covariate adjustment","rdss","experiment, causal","","N, r_sq, prob","Two-arm trial with covariate adjustment. (chapter 18).
",TRUE,TRUE,"covariate_adjustment.R"
"declaration_using_declare","10.1","Example of declaration using Declare","rdss","","","N","Example of declaration using DeclareDesign (chapter 10).
",FALSE,TRUE,"declaration_using_declare.R"
"design_10_2","10.2","design 10 2","rdss","","","N","10.2 (chapter 10).
",FALSE,TRUE,"design_10_2.R"
"design_10_4","10.4","design 10 4","rdss","","","effect_size, N","10.4 (chapter 10).
",FALSE,TRUE,"design_10_4.R"
"diff_in_diff","16.3","diff-in-diff","rdss","observational, causal","rdss, DIDmultiplegt, dplyr","N_units, N_time_periods","Difference-in-differences design (chapter 16).
",TRUE,TRUE,"diff_in_diff.R"
"encouragement","18.8","encouragement","rdss","experiment, causal","dplyr","N, share_always_takers, share_never_takers, share_compliers, share_defiers","Encouragement design. (chapter 18).
",TRUE,TRUE,"encouragement.R"
"example_declaration","5.1","Example declaration","rdss","","","N","Example declaration (chapter 5).
",FALSE,TRUE,"example_declaration.R"
"factorial_2x2","18.7","factorial 2x2","rdss","experiment, causal","","CATE_Z1_Z2_0, CATE_Z2_Z1_0, interaction, N","Two-by-two factorial design. (chapter 18).
",TRUE,TRUE,"factorial_2x2.R"
"factorial_2x2x2",NA,"2x2x2 factorial","template","experiment, causal, factorial, interaction","","N, effect_T1, effect_T2, effect_T3, interaction_T1_T2, interaction_T1_T3, interaction_T2_T3, interaction_T1_T2_T3, sd","Three-factor (2^3) factorial experiment with independent, equiprobable assignment to each factor. Inquiries are the average marginal effect of each factor, the three average two-way interactions, and the three-way interaction, each averaged over the conditions of the other factors. Estimation is a fully interacted regression of demeaned treatments, in which the intercept is the average outcome across all eight cells. Flattened from DesignLibrary::factorial_designer at k = 3.
",TRUE,TRUE,"factorial_2x2x2.R"
"instrumental_variables","16.4","instrumental variables","rdss","observational, causal","dplyr","N, prob, a, b","Instrumental variables design. (chapter 16).
",TRUE,TRUE,"instrumental_variables.R"
"italian_village","9.1","Italian village","rdss","","","N","Italian village design. (chapter 9).
",FALSE,TRUE,"italian_village.R"
